Date,Close/Last,Volume,Open,High,Low
11/09/2021,2.2275,N/A,2.1748,2.3263,2.195
11/08/2021,2.1666,N/A,2.04,2.1729,2.1058
11/07/2021,2.041,N/A,1.9855,2.0608,2.0094
11/06/2021,1.9888,N/A,2.0254,2.0048,1.9855
11/05/2021,2.0199,N/A,1.9996,2.0199,1.9737
11/04/2021,1.9886,N/A,2.0409,1.9991,1.9624
11/03/2021,2.0381,N/A,1.9586,2.1026,2.0271
11/02/2021,1.9539,N/A,1.9463,1.971,1.9502
11/01/2021,1.9439,N/A,1.9268,1.9529,1.9348
10/31/2021,1.9297,N/A,1.9881,1.9758,1.9246
10/30/2021,1.9935,N/A,1.9907,2.025,1.9432
10/29/2021,1.9903,N/A,2.0202,2.0179,1.9859
10/28/2021,2.014,N/A,1.9314,2.0461,1.981
10/27/2021,1.932,N/A,2.1442,1.9528,1.9079
10/26/2021,2.1468,N/A,2.1781,2.1522,2.1327
10/25/2021,2.1782,N/A,2.1358,2.1959,2.1413
10/24/2021,2.1362,N/A,2.1569,2.1431,2.1145
10/23/2021,2.1585,N/A,2.1574,2.1679,2.1522
10/22/2021,2.1561,N/A,2.1814,2.1614,2.1413
10/21/2021,2.1819,N/A,2.2258,2.1893,2.1359
10/20/2021,2.2239,N/A,2.0926,2.2696,2.1804
10/19/2021,2.0952,N/A,2.1534,2.1122,2.0952
10/18/2021,2.1498,N/A,2.1434,2.1571,2.1199
10/17/2021,2.1387,N/A,2.1795,2.1621,2.1356
10/16/2021,2.178,N/A,2.2133,2.1842,2.1521
10/15/2021,2.2152,N/A,2.1741,2.2363,2.215
10/14/2021,2.1733,N/A,2.1745,2.1835,2.1402
10/13/2021,2.173,N/A,2.1317,2.1969,2.1699
10/12/2021,2.1312,N/A,2.0998,2.1505,2.1094
10/11/2021,2.1042,N/A,2.2255,2.1714,2.0756
10/10/2021,2.2173,N/A,2.2421,2.2191,2.1739
10/09/2021,2.2421,N/A,2.2429,2.2705,2.2251
10/08/2021,2.2489,N/A,2.2672,2.2539,2.2208
10/07/2021,2.2676,N/A,2.1709,2.296,2.2552
10/06/2021,2.1678,N/A,2.2249,2.2148,2.1521
10/05/2021,2.216,N/A,2.218,2.2348,2.202
10/04/2021,2.2131,N/A,2.1732,2.2295,2.1811
10/03/2021,2.1793,N/A,2.2623,2.2521,2.1773
10/02/2021,2.2462,N/A,2.2037,2.2775,2.222
10/01/2021,2.2092,N/A,2.0998,2.2558,2.207
09/30/2021,2.0954,N/A,2.1202,2.1334,2.0954
09/29/2021,2.1119,N/A,2.0762,2.1243,2.0515
09/28/2021,2.0705,N/A,2.153,2.0729,2.0232
09/27/2021,2.2401,N/A,2.221,2.2726,2.1878
09/26/2021,2.2304,N/A,2.2563,2.2726,2.1878
