Date,Close/Last,Volume,Open,High,Low
11/09/2021,695.7,N/A,668,720.6,683.3
11/08/2021,663.5,N/A,608.9,669.7,636.5
11/07/2021,608.6,N/A,590.2,613.9,598.9
11/06/2021,591.1,N/A,602.11,592.1,585.8
11/05/2021,602.22,N/A,598.08,602.42,601.76
11/04/2021,598.16,N/A,608.66,598.49,593.13
11/03/2021,608.46,N/A,597.7,611.78,608.15
11/02/2021,597.5,N/A,588.57,598.49,596.08
11/01/2021,588.81,N/A,582.55,590.77,586.05
10/31/2021,584.64,N/A,595.76,597.91,582.04
10/30/2021,597.78,N/A,591.36,602.93,583.37
10/29/2021,590.54,N/A,589.76,594.5,589.81
10/28/2021,588.68,N/A,554.58,589.73,577.69
10/27/2021,553.29,N/A,612.73,557.17,545.08
10/26/2021,613.75,N/A,628,615.24,609.34
10/25/2021,629.5,N/A,621.39,629.82,619.64
10/24/2021,622.28,N/A,630.98,622.97,614.91
10/23/2021,632.43,N/A,631.55,633.05,625.86
10/22/2021,630.36,N/A,635.11,631.67,620.4
10/21/2021,633.93,N/A,641.68,634.92,623.29
10/20/2021,641.75,N/A,610.05,653.8,639.29
10/19/2021,610.35,N/A,622.68,619.78,610.35
10/18/2021,620.86,N/A,614.88,621.43,608.15
10/17/2021,614.05,N/A,625.43,619.11,610.28
10/16/2021,627.16,N/A,628.9,628.23,618.29
10/15/2021,629.61,N/A,628.06,635.6,625.52
10/14/2021,628.72,N/A,597.94,628.72,585.66
10/13/2021,598.32,N/A,591.64,603.35,590.71
10/12/2021,590.99,N/A,584.52,594.26,584.91
10/11/2021,585.7,N/A,604.67,601.37,582.03
10/10/2021,603.19,N/A,609.82,603.84,578.71
10/09/2021,608.79,N/A,605.05,615.26,600.12
10/08/2021,604.14,N/A,595.91,604.21,591.92
10/07/2021,594.28,N/A,604.68,614.38,588.55
10/06/2021,603.47,N/A,592.01,618.19,598.07
10/05/2021,591.38,N/A,554.08,604.31,588.28
10/04/2021,554.04,N/A,555.2,557.78,548.99
10/03/2021,549.19,N/A,552.14,571.05,548.97
10/02/2021,551.4,N/A,542.12,556.09,545.34
10/01/2021,539.75,N/A,501.37,548.38,538.16
09/30/2021,500.9,N/A,495.83,507.25,500.5
09/29/2021,497.55,N/A,486.06,497.67,481.98
09/28/2021,486.16,N/A,493.6,486.22,471.4
09/27/2021,506.6,N/A,501.98,515.07,499
09/26/2021,509.36,N/A,509.81,515.07,499
09/25/2021,509.91,N/A,516.86,517.65,501.11
09/24/2021,517.01,N/A,542.01,520.09,507.24
09/23/2021,543.29,N/A,548.69,555.91,542.65
09/22/2021,547.23,N/A,515.43,549.37,535.37
09/21/2021,516.7,N/A,537.69,521.24,496.48
09/20/2021,538.64,N/A,583.07,543.69,515.37
09/19/2021,583.91,N/A,633.55,608.99,577.26
09/18/2021,633.6,N/A,627.67,646.98,621.51
09/17/2021,625.38,N/A,643.1,626.41,614.62
09/16/2021,639.25,N/A,639.03,643.58,635.91
09/15/2021,639.02,N/A,638.73,655.27,636.58
09/14/2021,639,N/A,616.64,641.81,635.38
09/13/2021,617.52,N/A,627.9,618.74,608.76
09/12/2021,633.48,N/A,632.43,649.92,630
09/11/2021,632.11,N/A,630.43,639.54,623.37
09/10/2021,627.42,N/A,668.8,638.45,625.97
09/09/2021,667.36,N/A,669.98,673.87,658.63
09/08/2021,668.57,N/A,669.13,670.92,656.56
09/07/2021,669.75,N/A,775.53,679.43,665.88
09/06/2021,775.72,N/A,745,787.5,773.26
09/05/2021,709.32,N/A,714.68,714.17,698.28
09/04/2021,701.62,N/A,710.86,714.17,700.35
09/03/2021,711.61,N/A,668.59,720.9,704.49
09/02/2021,669.29,N/A,662.94,673.8,651.01
09/01/2021,662.97,N/A,633.8,667.88,652.61
08/31/2021,633.02,N/A,631.05,638.68,625.67
08/30/2021,631.87,N/A,643.28,634.27,623.99
08/29/2021,643.2,N/A,692.45,664.8,641.5
08/28/2021,690,N/A,631.97,690,646.6
