Date,Close/Last,Volume,Open,High,Low
11/09/2021,5.0923,N/A,5.1559,5.2838,5.0149
11/08/2021,5.102,N/A,4.64,5.1609,4.8371
11/07/2021,4.6417,N/A,4.4646,4.6959,4.5844
11/06/2021,4.4816,N/A,4.5336,4.4891,4.4187
11/05/2021,4.5163,N/A,4.5534,4.5393,4.4865
11/04/2021,4.539,N/A,4.668,4.5499,4.464
11/03/2021,4.6594,N/A,4.6705,4.7497,4.6478
11/02/2021,4.6684,N/A,4.6502,4.7163,4.6624
11/01/2021,4.637,N/A,4.5646,4.6517,4.5847
10/31/2021,4.5117,N/A,4.6899,4.7114,4.5092
10/30/2021,4.6414,N/A,4.4472,4.7649,4.4689
10/29/2021,4.452,N/A,4.4716,4.5152,4.4405
10/28/2021,4.4696,N/A,4.2228,4.4993,4.3856
10/27/2021,4.2092,N/A,4.721,4.2482,4.1396
10/26/2021,4.7392,N/A,4.8834,4.7551,4.6852
10/25/2021,4.877,N/A,4.803,4.9007,4.7979
10/24/2021,4.798,N/A,4.8162,4.8095,4.7159
10/23/2021,4.8337,N/A,4.6524,4.8908,4.7235
10/22/2021,4.663,N/A,4.7241,4.6685,4.586
10/21/2021,4.7664,N/A,4.8406,4.7775,4.6626
10/20/2021,4.837,N/A,4.4719,4.9215,4.7763
10/19/2021,4.4793,N/A,4.5083,4.5015,4.4455
10/18/2021,4.4958,N/A,4.4401,4.5031,4.4006
10/17/2021,4.4312,N/A,4.5706,4.4646,4.4005
10/16/2021,4.576,N/A,4.6179,4.5867,4.4972
10/15/2021,4.6177,N/A,4.6435,4.6826,4.6166
10/14/2021,4.6553,N/A,4.5998,4.6779,4.5125
10/13/2021,4.6068,N/A,4.5426,4.6349,4.5623
10/12/2021,4.5406,N/A,4.399,4.5768,4.4603
10/11/2021,4.3974,N/A,4.6605,4.5538,4.3543
10/10/2021,4.6693,N/A,4.9277,4.6695,4.5044
10/09/2021,4.8976,N/A,4.7287,5.0017,4.8317
10/08/2021,4.7273,N/A,4.6779,4.7308,4.6147
10/07/2021,4.6686,N/A,4.6112,4.7829,4.6385
10/06/2021,4.6252,N/A,4.6837,4.7515,4.5552
10/05/2021,4.6723,N/A,4.6667,4.8042,4.6457
10/04/2021,4.6514,N/A,4.4745,4.7134,4.5625
10/03/2021,4.4835,N/A,4.3573,4.6615,4.4581
10/02/2021,4.329,N/A,4.2113,4.3617,4.227
10/01/2021,4.2271,N/A,3.9351,4.3281,4.2249
09/30/2021,3.9244,N/A,3.8968,4.0025,3.9084
09/29/2021,3.8826,N/A,3.7815,3.8973,3.7219
09/28/2021,3.7774,N/A,3.8697,3.7774,3.6387
09/27/2021,3.9838,N/A,3.8855,4.1067,3.9284
09/26/2021,4.0287,N/A,3.9276,4.1067,3.9284
09/25/2021,3.9283,N/A,4.0657,4.0172,3.8631
09/24/2021,4.0639,N/A,4.2575,4.0921,3.9851
09/23/2021,4.2681,N/A,4.3577,4.3878,4.2657
09/22/2021,4.3502,N/A,4.0125,4.3588,4.2277
09/21/2021,4.0403,N/A,4.1865,4.0622,3.8084
09/20/2021,4.1958,N/A,4.6379,4.2433,3.8512
09/19/2021,4.6329,N/A,5.2971,4.92,4.5793
09/18/2021,5.3045,N/A,5.2282,5.4974,5.2821
09/17/2021,5.2077,N/A,5.061,5.2504,5.1074
09/16/2021,5.0282,N/A,4.9859,5.0613,4.9502
09/15/2021,4.9745,N/A,4.8079,5.1417,4.9336
09/14/2021,4.8044,N/A,4.8165,4.8736,4.7943
09/13/2021,4.8225,N/A,4.6423,4.8264,4.7053
09/12/2021,4.697,N/A,4.6781,4.9162,4.6813
09/11/2021,4.664,N/A,4.6219,4.6932,4.5773
09/10/2021,4.5873,N/A,4.9293,4.7192,4.5524
09/09/2021,4.9233,N/A,4.7527,5.0436,4.7946
09/08/2021,4.7348,N/A,4.7739,4.843,4.6705
09/07/2021,4.7987,N/A,6.1078,4.9623,4.7454
09/06/2021,6.1153,N/A,6.1155,6.2535,6.068
09/05/2021,5.6687,N/A,5.669,5.7717,5.5349
09/04/2021,5.6079,N/A,5.6685,5.7717,5.5989
09/03/2021,5.68,N/A,5.2703,5.8668,5.6252
09/02/2021,5.276,N/A,5.2696,5.2988,5.1339
09/01/2021,5.2662,N/A,5.008,5.3332,5.2347
08/31/2021,4.9924,N/A,4.8494,5.0622,4.9063
08/30/2021,4.8524,N/A,4.9273,4.8527,4.7539
08/29/2021,4.9329,N/A,5.0607,5.0766,4.9142
08/28/2021,5.0536,N/A,4.9859,5.2389,4.9843
08/27/2021,4.996,N/A,4.6768,5.102,4.9917
08/26/2021,4.9086,N/A,4.9614,5.2739,4.8631
08/25/2021,5.0233,N/A,5.0869,5.2739,5.0052
08/24/2021,5.0817,N/A,5.502,5.2055,5.0582
08/23/2021,5.5075,N/A,5.5185,5.644,5.4341
08/22/2021,5.5067,N/A,5.3525,5.5465,5.367
08/21/2021,5.3388,N/A,5.4222,5.4667,5.3324
08/20/2021,5.4421,N/A,5.2048,5.46,5.3288
08/19/2021,5.2071,N/A,4.8733,5.3304,5.1873
08/18/2021,4.8926,N/A,4.9786,5.0633,4.8572
08/17/2021,4.9503,N/A,5.531,5.1236,4.7478
