Date,Close/Last,Volume,Open,High,Low
11/09/2021,61.18,N/A,62.14,64.11,59.7
11/08/2021,62.26,N/A,54.79,62.8,55.8
11/07/2021,54.83,N/A,52.89,55.16,53.79
11/06/2021,52.94,N/A,53.3222,53.15,52.54
11/05/2021,53.2942,N/A,53.8418,53.3614,53.2017
11/04/2021,53.7992,N/A,55.3743,53.85,53.1892
11/03/2021,55.3744,N/A,54.8573,56.0176,55.232
11/02/2021,54.8187,N/A,53.6097,55.3738,54.756
11/01/2021,53.5803,N/A,52.7237,53.8311,53.4516
10/31/2021,52.9788,N/A,56.0341,54.9808,52.8335
10/30/2021,56.2391,N/A,53.0808,58.5193,52.6153
10/29/2021,53.0419,N/A,53.0988,53.7734,53.0331
10/28/2021,53.0712,N/A,49.3711,53.8125,51.9574
10/27/2021,49.2084,N/A,54.4376,49.9159,48.5041
10/26/2021,54.7773,N/A,55.8996,54.9188,53.895
10/25/2021,55.7976,N/A,56.0075,56.0168,55.1961
10/24/2021,55.7765,N/A,55.5222,56.1414,54.7003
10/23/2021,55.6064,N/A,54.9338,56.026,55.2472
10/22/2021,54.9022,N/A,56.4234,55.1417,54.1226
10/21/2021,56.8647,N/A,56.0234,56.938,55.349
10/20/2021,55.8732,N/A,52.354,57.1123,55.3814
10/19/2021,52.4557,N/A,53.3328,53.0023,52.4021
10/18/2021,53.2501,N/A,52.8721,53.4377,52.2537
10/17/2021,52.7954,N/A,54.441,53.6033,52.7676
10/16/2021,54.4228,N/A,54.1352,54.4881,53.5219
10/15/2021,54.1594,N/A,55.63,54.7515,54.0476
10/14/2021,55.8782,N/A,53.8433,56.8469,53.2596
10/13/2021,53.5047,N/A,53.0288,53.8588,53.0321
10/12/2021,52.9834,N/A,52.3176,53.3681,52.4579
10/11/2021,52.3778,N/A,54.4714,53.9358,51.9107
10/10/2021,54.3622,N/A,55.2054,54.4209,52.1553
10/09/2021,55.1011,N/A,54.1231,55.629,54.1135
10/08/2021,54.1836,N/A,53.5471,54.2069,53.2458
10/07/2021,53.5016,N/A,53.662,54.5952,53.1382
10/06/2021,53.7836,N/A,53.5084,55.3175,53.1628
10/05/2021,53.4589,N/A,53.5512,54.5483,53.2958
10/04/2021,53.4271,N/A,51.7215,54.5866,52.2955
10/03/2021,51.7241,N/A,53.3588,53.7697,51.6727
10/02/2021,53.2054,N/A,53.0294,53.9845,51.9444
10/01/2021,53.2753,N/A,46.856,54.9254,51.1971
09/30/2021,46.6637,N/A,47.1189,47.4035,46.6637
09/29/2021,46.9463,N/A,45.8818,46.9463,45.2897
09/28/2021,45.7377,N/A,46.0039,45.8295,44.6129
09/27/2021,47.3358,N/A,45.8334,48.4061,46.6142
09/26/2021,47.592,N/A,46.4765,48.4061,46.6142
09/25/2021,46.4926,N/A,48.115,47.489,45.8148
09/24/2021,48.1279,N/A,50.1562,49.4591,47.0293
09/23/2021,50.2855,N/A,51.4613,51.8624,50.255
09/22/2021,51.3096,N/A,47.099,51.5274,50.1803
09/21/2021,47.372,N/A,49.1644,47.8032,44.9201
09/20/2021,49.2964,N/A,52.7412,50.0736,46.3589
09/19/2021,52.8052,N/A,56.4111,55.4082,52.5145
09/18/2021,56.6463,N/A,57.0821,57.2443,56.0083
09/17/2021,56.6943,N/A,58.2299,56.7634,55.7296
09/16/2021,57.9281,N/A,57.9581,58.2776,57.3393
09/15/2021,57.8652,N/A,56.8676,59.3365,57.4982
09/14/2021,56.9065,N/A,55.7948,57.4848,56.2511
09/13/2021,55.8914,N/A,55.6748,56.1873,55.271
09/12/2021,56.1984,N/A,57.3908,58.3489,55.9859
09/11/2021,57.3815,N/A,56.1109,57.4963,56.08
09/10/2021,55.7668,N/A,59.4208,57.5611,55.5658
09/09/2021,59.3229,N/A,58.6378,60.3789,58.3812
09/08/2021,58.4432,N/A,58.9174,59.3358,57.854
09/07/2021,59.1273,N/A,72.4509,61.3437,57.8643
09/06/2021,72.5431,N/A,72.0082,73.8424,72.1873
09/05/2021,69.4435,N/A,70.057,69.8754,68.1257
09/04/2021,68.3481,N/A,69.6386,69.8754,68.3071
09/03/2021,69.787,N/A,68.1666,70.8884,68.8791
09/02/2021,67.9531,N/A,67.8311,68.2262,66.099
09/01/2021,67.7409,N/A,63.0903,69.1801,67.7198
08/31/2021,62.915,N/A,61.9482,64.2289,62.1873
08/30/2021,62.0227,N/A,61.9973,62.4093,60.7545
08/29/2021,62.0143,N/A,63.4921,64.0766,61.6671
08/28/2021,63.4563,N/A,64.624,65.7154,63.1984
08/27/2021,64.8378,N/A,59.1467,66.1354,63.9127
08/26/2021,61.0415,N/A,61.2573,64.3741,60.4931
08/25/2021,61.8555,N/A,62.9525,64.3741,61.541
08/24/2021,63.0217,N/A,67.3238,64.2564,62.7833
08/23/2021,67.3816,N/A,68.5415,68.6288,66.7828
08/22/2021,68.5404,N/A,67.6451,69.0798,66.8667
08/21/2021,67.4243,N/A,69.5528,68.5601,67.2297
08/20/2021,69.6558,N/A,66.4545,70.3175,68.2621
08/19/2021,66.4636,N/A,62.0784,67.9024,66.1651
08/18/2021,62.3871,N/A,63.3923,64.9949,61.912
08/17/2021,63.0552,N/A,70.7263,64.1094,59.9516
08/16/2021,70.8037,N/A,73.1367,71.2298,66.6234
08/15/2021,73.3115,N/A,70.6749,75.6662,73.1324
08/14/2021,71.0777,N/A,63.7334,73.4959,67.0998
08/13/2021,63.6597,N/A,60.8785,65.147,63.0973
08/12/2021,60.9818,N/A,64.1515,61.6002,59.3862
08/11/2021,64.7805,N/A,59.1499,65.8139,60.5326
08/10/2021,59.2976,N/A,58.0253,59.6984,58.6338
08/09/2021,58.0022,N/A,57.4889,59.6973,57.9992
08/08/2021,57.407,N/A,61.7308,57.6113,55.03
08/07/2021,61.9949,N/A,54.9773,63.196,59.2269
08/06/2021,54.8874,N/A,51.7263,55.3201,52.6822
08/05/2021,51.7655,N/A,51.2223,52.8416,51.7337
08/04/2021,51.3042,N/A,49.1764,52.0105,50.4872
08/03/2021,49.3413,N/A,49.9851,50.05,49.0248
08/02/2021,49.7314,N/A,50.7157,52.2407,49.6858
08/01/2021,50.7492,N/A,53.6971,51.1678,49.3628
07/31/2021,53.7878,N/A,51.2165,54.0442,50.9073
07/30/2021,51.0528,N/A,50.2384,52.3816,50.271
07/29/2021,50.1227,N/A,48.6998,50.7229,49.0495
07/28/2021,48.7716,N/A,49.349,49.5266,48.327
07/27/2021,48.9907,N/A,46.4142,50.0302,48.3342
07/26/2021,47.2592,N/A,51.3633,49.5165,46.2426
07/25/2021,51.5635,N/A,45.7024,52.5168,48.0604
07/24/2021,45.7053,N/A,44.7181,46.2587,45.0004
07/23/2021,45.2129,N/A,46.2543,46.1756,45.0004
07/22/2021,46.039,N/A,42.4965,46.7054,43.0726
07/21/2021,42.5007,N/A,40.201,44.1189,41.9208
07/20/2021,40.2809,N/A,39.0219,40.4713,38.6214
07/19/2021,38.608,N/A,41.3512,42.0686,38.0858
07/18/2021,41.3481,N/A,42.7838,42.391,41.016
07/17/2021,42.678,N/A,40.7609,43.2759,41.3785
07/16/2021,40.6309,N/A,43.4266,41.8263,40.2597
07/15/2021,43.3844,N/A,44.8803,43.8507,42.2574
07/14/2021,44.982,N/A,43.1692,47.0537,44.8555
07/13/2021,42.9781,N/A,47.5219,46.5481,42.9353
07/12/2021,47.7605,N/A,49.8438,48.2087,47.2817
07/11/2021,49.8319,N/A,48.5491,49.8605,49.1415
07/10/2021,48.6798,N/A,50.002,49.5509,48.6076
07/09/2021,50.1111,N/A,49.1072,51.3312,49.7015
07/08/2021,49.1072,N/A,51.6585,49.1999,48.9128
07/07/2021,51.7724,N/A,54.8794,52.9295,51.1841
07/06/2021,54.873,N/A,54.8643,55.0904,54.0877
07/05/2021,54.6858,N/A,55.5657,55.3657,53.6867
07/04/2021,55.464,N/A,57.2412,56.7337,55.232
07/03/2021,57.3293,N/A,52.5601,58.4201,52.4529
07/02/2021,52.6462,N/A,51.569,53.913,52.4529
07/01/2021,51.7381,N/A,54.9027,55.1315,51.5274
06/30/2021,55.0467,N/A,57.8953,58.2616,54.9886
06/29/2021,58.3937,N/A,44.677,62.3675,55.3231
06/28/2021,44.6606,N/A,41.228,45.3631,43.1681
06/27/2021,41.2897,N/A,40.9859,42.7292,41.2592
06/26/2021,41.0784,N/A,39.8461,41.4077,40.1361
06/25/2021,39.9561,N/A,44.7656,40.4779,39.0562
06/24/2021,44.7266,N/A,40.3707,45.3277,43.1114
06/23/2021,39.8031,N/A,38.8535,41.5601,38.757
06/22/2021,38.5597,N/A,41.8895,40.0481,34.6997
06/21/2021,41.9438,N/A,48.1642,42.6476,36.5533
06/20/2021,48.2392,N/A,50.7362,51.4131,48.1533
06/19/2021,50.8748,N/A,51.5402,51.1856,50.1722
06/18/2021,51.3352,N/A,54.6092,53.1818,51.2836
06/17/2021,54.6228,N/A,56.9541,55.5618,53.894
