Date,Close/Last,Volume,Open,High,Low
11/09/2021,1.39178,N/A,1.39901,1.42084,1.36588
11/08/2021,1.39098,N/A,1.34257,1.40945,1.36603
11/07/2021,1.34232,N/A,1.32595,1.34655,1.31353
11/06/2021,1.33108,N/A,1.34465,1.33334,1.31957
11/05/2021,1.34513,N/A,1.34155,1.35601,1.3369
11/04/2021,1.33616,N/A,1.33969,1.34116,1.31742
11/03/2021,1.33617,N/A,1.36,1.35413,1.33139
11/02/2021,1.35207,N/A,1.36393,1.37878,1.34685
11/01/2021,1.36966,N/A,1.40261,1.38541,1.36156
10/31/2021,1.37976,N/A,1.35247,1.47086,1.37913
10/30/2021,1.35068,N/A,1.26459,1.39262,1.34235
10/29/2021,1.24728,N/A,1.25461,1.28586,1.24728
10/28/2021,1.25778,N/A,1.18942,1.25844,1.2321
10/27/2021,1.18848,N/A,1.35839,1.19834,1.17192
10/26/2021,1.37159,N/A,1.32598,1.37159,1.34988
10/25/2021,1.32534,N/A,1.30344,1.33011,1.31621
10/24/2021,1.30348,N/A,1.3182,1.3046,1.28094
10/23/2021,1.31789,N/A,1.31811,1.31876,1.30828
10/22/2021,1.32209,N/A,1.29678,1.33524,1.3138
10/21/2021,1.29968,N/A,1.27702,1.30395,1.26675
10/20/2021,1.27444,N/A,1.21041,1.30312,1.26369
10/19/2021,1.21196,N/A,1.22629,1.22436,1.21015
10/18/2021,1.2236,N/A,1.21573,1.22653,1.21242
10/17/2021,1.21242,N/A,1.27065,1.23773,1.20939
10/16/2021,1.26811,N/A,1.26913,1.28133,1.25673
10/15/2021,1.27096,N/A,1.31814,1.28641,1.27087
10/14/2021,1.32196,N/A,1.34432,1.33952,1.29618
10/13/2021,1.34733,N/A,1.33545,1.34733,1.32232
10/12/2021,1.33571,N/A,1.32947,1.35074,1.31566
10/11/2021,1.33423,N/A,1.45764,1.4345,1.31163
10/10/2021,1.45769,N/A,1.43177,1.58522,1.3964
10/09/2021,1.43774,N/A,1.32491,1.44461,1.35971
10/08/2021,1.32346,N/A,1.2794,1.33665,1.29547
10/07/2021,1.27573,N/A,1.26254,1.28198,1.26703
10/06/2021,1.26757,N/A,1.26967,1.29567,1.2466
10/05/2021,1.26661,N/A,1.21147,1.27092,1.20572
10/04/2021,1.21043,N/A,1.17798,1.21083,1.18315
10/03/2021,1.17864,N/A,1.26812,1.22306,1.17514
10/02/2021,1.25798,N/A,1.24518,1.2823,1.23869
10/01/2021,1.25155,N/A,1.15559,1.34158,1.24852
09/30/2021,1.15501,N/A,1.07285,1.1643,1.13597
09/29/2021,1.06931,N/A,1.07797,1.07078,1.026
09/28/2021,1.07389,N/A,1.12947,1.07562,1.03929
09/27/2021,1.18881,N/A,1.16171,1.21186,1.15243
09/26/2021,1.18669,N/A,1.18883,1.21186,1.15243
09/25/2021,1.18957,N/A,1.25071,1.22782,1.17975
09/24/2021,1.2503,N/A,1.33956,1.27125,1.23886
09/23/2021,1.34348,N/A,1.37782,1.38466,1.34282
09/22/2021,1.37434,N/A,1.24117,1.37623,1.33386
09/21/2021,1.24594,N/A,1.29095,1.25511,1.19726
