Date,Close/Last,Volume,Open,High,Low
11/09/2021,0.9999,N/A,0.9997,1.0002,0.9999
11/08/2021,0.9998,N/A,1.0006,1.0005,0.9997
11/07/2021,1.0004,N/A,1.0006,1.0009,1.0002
11/06/2021,1.0006,N/A,1.0007,1.0011,1.0005
11/05/2021,1.0006,N/A,1.0006,1.0009,1.0006
11/04/2021,1.0005,N/A,1.0002,1.0006,1.0003
11/03/2021,1.0002,N/A,1.0006,1.0003,1
11/02/2021,1.0007,N/A,1.0002,1.0007,1.0004
11/01/2021,1.0003,N/A,1.0005,1.0005,1.0002
10/31/2021,1.0005,N/A,1.0002,1.0006,1.0002
10/30/2021,1.0002,N/A,1,1.0005,1.0002
10/29/2021,1,N/A,1.0003,1.0001,0.9999
10/28/2021,1.0003,N/A,1.0004,1.0004,1
10/27/2021,1.0004,N/A,1,1.0006,1.0001
10/26/2021,0.9999,N/A,1.0002,1.0001,0.9996
10/25/2021,1.0002,N/A,0.9999,1.0002,1
10/24/2021,1,N/A,1,1.0001,0.9996
10/23/2021,1,N/A,0.9997,1,0.9997
10/22/2021,0.9997,N/A,0.9998,1,0.9997
10/21/2021,0.9998,N/A,1.0002,1.0002,0.9998
10/20/2021,1.0002,N/A,1.0002,1.0004,1
10/19/2021,1.0001,N/A,1,1.0002,1.0001
10/18/2021,1.0001,N/A,1.0001,1.0001,0.9999
10/17/2021,1,N/A,1,1.0001,0.9999
10/16/2021,1,N/A,1,1.0001,0.9999
10/15/2021,1,N/A,1,1.0001,0.9999
10/14/2021,1.0002,N/A,1.0001,1.0002,1
10/13/2021,1,N/A,1.0002,1.0001,0.9999
10/12/2021,1.0002,N/A,1.0003,1.0002,0.9999
10/11/2021,1.0002,N/A,1,1.0002,1
10/10/2021,1,N/A,1.0003,1.0005,1
10/09/2021,1.0003,N/A,1.0003,1.0005,1.0003
10/08/2021,1.0003,N/A,1.0002,1.0003,1.0002
10/07/2021,1.0003,N/A,1.0003,1.0003,1.0002
10/06/2021,1.0003,N/A,1.0005,1.0005,1.0003
10/05/2021,1.0005,N/A,1.0003,1.0006,1.0004
10/04/2021,1.0004,N/A,1.0005,1.0004,1.0003
10/03/2021,1.0005,N/A,1.0004,1.0005,1.0004
10/02/2021,1.0003,N/A,1.0005,1.0004,1.0003
10/01/2021,1.0005,N/A,1.0002,1.0005,1.0003
09/30/2021,1.0001,N/A,1.0002,1.0002,1.0001
09/29/2021,1.0002,N/A,1.0003,1.0002,1
09/28/2021,1.0003,N/A,1.0004,1.0004,1.0002
09/27/2021,1.001,N/A,1.0017,1.0013,1.0008
09/26/2021,1.001,N/A,1.0019,1.0013,1.0009
09/25/2021,1.0018,N/A,1.0017,1.0024,1.0013
09/24/2021,1.0016,N/A,1.001,1.0017,1.0015
09/23/2021,1.001,N/A,1.0007,1.0013,1.0007
09/22/2021,1.0007,N/A,1.0005,1.0009,1.0005
09/21/2021,1.0004,N/A,1.0002,1.0007,1.0002
09/20/2021,1.0002,N/A,1.0006,1.0004,0.9999
09/19/2021,1.0006,N/A,1.0005,1.0009,1.0003
09/18/2021,1.0004,N/A,1.0004,1.0006,1.0002
09/17/2021,1.0004,N/A,1.0006,1.0006,1.0004
09/16/2021,1.0007,N/A,1.0005,1.0007,1.0003
09/15/2021,1.0005,N/A,1.0005,1.0007,1.0004
09/14/2021,1.0005,N/A,1.0005,1.0006,1.0003
09/13/2021,1.0005,N/A,1.0004,1.0006,1.0002
09/12/2021,1.0004,N/A,1.0001,1.0005,1
09/11/2021,1.0001,N/A,1.0003,1.0005,1.0001
09/10/2021,1.0003,N/A,1.0004,1.0006,1.0002
09/09/2021,1.0004,N/A,1.0001,1.0006,1.0003
09/08/2021,1.0002,N/A,1.0005,1.0004,1.0001
09/07/2021,1.0006,N/A,1.0003,1.0007,1.0001
09/06/2021,1.0003,N/A,1.0003,1.0005,1.0002
09/05/2021,1.0002,N/A,1.0003,1.0004,1.0001
09/04/2021,1.0002,N/A,1.0001,1.0003,1.0001
09/03/2021,1.0002,N/A,1.0001,1.0002,1.0001
09/02/2021,1.0002,N/A,1.0004,1.0003,1.0001
09/01/2021,1.0004,N/A,1.0005,1.0004,1.0001
08/31/2021,1.0005,N/A,1.0006,1.0006,1.0003
08/30/2021,1.0004,N/A,1.0006,1.0008,1.0004
08/29/2021,1.0006,N/A,1.0006,1.0008,1.0006
08/28/2021,1.0006,N/A,1.0004,1.0006,1.0005
08/27/2021,1.0004,N/A,1.0003,1.0006,1.0003
08/26/2021,1.0003,N/A,1.0003,1.0005,1.0002
08/25/2021,1.0003,N/A,1.0002,1.0004,1.0002
08/24/2021,1.0002,N/A,1.0002,1.0003,1.0001
08/23/2021,1.0002,N/A,1.0006,1.0004,1.0001
08/22/2021,1.0006,N/A,1.0006,1.0006,1.0003
08/21/2021,1.0006,N/A,1.0004,1.0006,1.0004
08/20/2021,1.0003,N/A,1.0001,1.0004,1.0002
08/19/2021,1.0001,N/A,1.0004,1.0003,1.0001
08/18/2021,1.0004,N/A,1.0005,1.0005,1.0002
08/17/2021,1.0004,N/A,1.0004,1.0005,1.0002
08/16/2021,1.0003,N/A,1.0005,1.0008,1.0002
08/15/2021,1.0005,N/A,1.0004,1.0007,1.0004
08/14/2021,1.0004,N/A,1.0004,1.0006,1.0004
08/13/2021,1.0003,N/A,1.0006,1.0004,1.0002
08/12/2021,1.0006,N/A,1,1.0008,1.0003
08/11/2021,1,N/A,1.0003,1.0001,1
08/10/2021,1.0002,N/A,1.0002,1.0003,1.0002
08/09/2021,1.0002,N/A,0.9999,1.0004,1.0001
08/08/2021,0.9999,N/A,0.9996,1.0001,0.9998
08/07/2021,0.9996,N/A,1.0005,1.0002,0.9995
08/06/2021,1.0005,N/A,1.0002,1.0005,1.0002
08/05/2021,1.0004,N/A,1.0001,1.0005,1.0003
08/04/2021,1.0001,N/A,1.0004,1.0003,1
08/03/2021,1.0004,N/A,1.0008,1.0005,1.0003
08/02/2021,1.0008,N/A,1.0007,1.0008,1.0003
08/01/2021,1.0006,N/A,0.9997,1.0009,1.0005
07/31/2021,0.9998,N/A,1.0003,0.9998,0.9996
07/30/2021,1.0002,N/A,1.0002,1.0004,1.0001
07/29/2021,1.0003,N/A,1.0003,1.0006,1.0002
07/28/2021,1.0003,N/A,1.0005,1.0004,1.0002
07/27/2021,1.0005,N/A,1.0005,1.0006,1.0004
07/26/2021,1.0004,N/A,1.0009,1.0006,1.0002
07/25/2021,1.0008,N/A,1.0009,1.0011,1.0007
07/24/2021,1.0009,N/A,1.0004,1.0009,1.0004
07/23/2021,1.0007,N/A,1.0007,1.0007,1.0004
07/22/2021,1.0007,N/A,1.0005,1.0008,1.0002
07/21/2021,1.0006,N/A,1.0009,1.0007,1.0003
07/20/2021,1.0009,N/A,1.0006,1.001,1.0004
07/19/2021,1.0006,N/A,1.001,1.0008,1.0004
07/18/2021,1.0009,N/A,0.9995,1.0013,1.0009
07/17/2021,0.9996,N/A,1.0013,1.001,0.9996
07/16/2021,1.0014,N/A,1.0008,1.0014,1.0006
07/15/2021,1.0008,N/A,1.0004,1.001,1.0002
07/14/2021,1.0005,N/A,1.0007,1.0006,1.0002
07/13/2021,1.0005,N/A,0.9999,1.0008,1.0002
07/12/2021,0.9999,N/A,1.0001,0.9999,0.9996
07/11/2021,1.0001,N/A,0.9999,1.0001,1
07/10/2021,1,N/A,0.999,1,0.9998
07/09/2021,0.9991,N/A,0.9995,0.9991,0.9987
07/08/2021,0.9995,N/A,1.0004,0.9996,0.9994
07/07/2021,1.0004,N/A,1.0007,1.0007,1.0003
07/06/2021,1.0007,N/A,1,1.0008,1.0002
07/05/2021,1,N/A,1,1.0003,0.9999
07/04/2021,1,N/A,1.0003,1.0004,0.9998
07/03/2021,1.0003,N/A,1.0002,1.0007,1.0003
07/02/2021,1.0004,N/A,1.0001,1.0007,1.0003
07/01/2021,1.0002,N/A,1.0002,1.0004,1.0001
06/30/2021,1.0004,N/A,1.0003,1.0007,1.0004
06/29/2021,1.0003,N/A,1.0006,1.0005,1.0002
06/28/2021,1.0006,N/A,1.0007,1.0006,1.0004
06/27/2021,1.0007,N/A,1.0033,1.0008,1.0006
06/26/2021,1.0031,N/A,0.9996,1.0032,1.0012
06/25/2021,0.9996,N/A,1.0001,0.9998,0.9995
06/24/2021,1.0001,N/A,1.0007,1.0003,1.0001
06/23/2021,1.0008,N/A,1.0012,1.001,1.0005
06/22/2021,1.0013,N/A,1.0033,1.0021,1.0012
06/21/2021,1.0033,N/A,1.0025,1.0035,1.0027
06/20/2021,1.0025,N/A,1.0016,1.0025,1.0013
06/19/2021,1.0016,N/A,1.0006,1.0019,1.0013
06/18/2021,1.0006,N/A,1.0001,1.0011,1.0006
06/17/2021,1.0001,N/A,0.9998,1.0001,1
06/16/2021,0.9997,N/A,0.9999,0.9999,0.9997
06/15/2021,0.9999,N/A,1,1,0.9996
06/14/2021,1,N/A,0.9999,1.0002,0.9997
06/13/2021,0.9999,N/A,1.0003,1.0001,0.9996
06/12/2021,1.0003,N/A,1.0005,1.0006,1.0001
06/11/2021,1.0005,N/A,1,1.0006,1
06/10/2021,1.0001,N/A,1.0002,1.0003,0.9999
06/09/2021,1.0002,N/A,1.0015,1.0003,0.9995
06/08/2021,1.0014,N/A,1.0005,1.0015,1.0008
06/07/2021,1.0006,N/A,0.9995,1.0007,1.0001
06/06/2021,0.9991,N/A,1.0004,1,0.999
06/05/2021,1.0004,N/A,1.0003,1.0008,1.0004
06/04/2021,1.0002,N/A,1.0001,1.0006,1.0002
06/03/2021,1.0001,N/A,1.0002,1.0004,0.9998
06/02/2021,1.0002,N/A,1.0001,1.0004,1.0001
06/01/2021,1.0001,N/A,1.0001,1.0002,0.9998
05/31/2021,1.0001,N/A,1.0001,1.0003,0.9999
05/30/2021,1,N/A,0.9989,1.0001,0.9992
05/29/2021,0.9989,N/A,1.0002,1,0.9989
05/28/2021,1.0003,N/A,1.0002,1.0004,1
05/27/2021,1.0004,N/A,1.0016,1.0007,1.0001
05/26/2021,1.0015,N/A,1.0012,1.0016,1.0011
05/25/2021,1.0012,N/A,1.0013,1.0015,1.0011
05/24/2021,1.0014,N/A,1.0022,1.0016,1.0005
05/23/2021,1.0022,N/A,1.0033,1.0028,1.0017
05/22/2021,1.0035,N/A,1.003,1.0035,1.002
05/21/2021,1.0032,N/A,1.0022,1.0039,1.0023
05/20/2021,1.0022,N/A,1.0013,1.0023,1.0012
05/19/2021,1.0017,N/A,1.0013,1.0023,1.001
05/18/2021,1.001,N/A,1.0002,1.001,1.0004
05/17/2021,1.0002,N/A,1.0041,1.0003,0.9995
05/16/2021,1.0037,N/A,1.0021,1.0049,1.0019
05/15/2021,1.0019,N/A,1.0014,1.0019,1.001
05/14/2021,1.0013,N/A,1.001,1.0017,1.001
