Date,Close/Last,Volume,Open,High,Low
11/09/2021,6.22261,N/A,6.55795,6.3453,6.15774
11/08/2021,6.55752,N/A,6.36759,6.58656,6.40804
11/07/2021,6.36932,N/A,6.38533,6.44798,6.2879
11/06/2021,6.43085,N/A,6.61168,6.45891,6.36386
11/05/2021,6.57802,N/A,6.72788,6.68793,6.40609
11/04/2021,6.70834,N/A,6.38673,6.76536,6.23217
11/03/2021,6.39436,N/A,6.20817,6.47829,6.23977
11/02/2021,6.18083,N/A,6.20143,6.26245,6.14102
11/01/2021,6.18187,N/A,6.0891,6.2451,6.14003
10/31/2021,6.11318,N/A,6.40883,6.3704,6.10871
10/30/2021,6.39839,N/A,6.66861,6.48871,6.18902
10/29/2021,6.69731,N/A,6.22386,6.78918,6.47968
10/28/2021,6.21066,N/A,5.95856,6.30563,6.07848
10/27/2021,5.95497,N/A,6.77502,6.04765,5.81502
10/26/2021,6.81495,N/A,6.72154,6.84374,6.73928
10/25/2021,6.73829,N/A,6.59933,6.76122,6.62259
10/24/2021,6.58378,N/A,6.69949,6.60687,6.42168
10/23/2021,6.72378,N/A,6.74777,6.74381,6.68281
10/22/2021,6.74925,N/A,6.76115,6.76026,6.64334
10/21/2021,6.83636,N/A,6.95329,6.85089,6.64775
10/20/2021,6.94466,N/A,6.59896,7.13131,6.91142
10/19/2021,6.58952,N/A,6.70903,6.7595,6.58324
10/18/2021,6.70878,N/A,6.5923,6.79281,6.51075
10/17/2021,6.57711,N/A,6.91519,6.66979,6.56217
10/16/2021,6.91465,N/A,6.89114,6.97903,6.85038
10/15/2021,6.89233,N/A,7.00326,6.98395,6.83976
10/14/2021,7.03492,N/A,7.18858,7.14254,6.92523
10/13/2021,7.1731,N/A,7.28977,7.35814,7.14843
10/12/2021,7.28297,N/A,6.66647,7.28297,7.01033
10/11/2021,6.68979,N/A,7.2389,6.9235,6.61677
10/10/2021,7.23048,N/A,7.88557,7.23048,6.89144
10/09/2021,7.85897,N/A,7.4065,8.06084,7.57666
